"Cell line 1"	"Cell line 2"	"Cell line 3"	"RMSE"	"Correlation"
"GSM1683648"	0.186801721657555	0.244609629638532	0.568588648703913	608.926394382594	0.395072677558473
"GSM1683653"	0.0450495682602633	0.370220833963579	0.584729597776159	820.936152889892	0.347007928131126
"GSM1683655"	0.20648122591544	-6.85788697450094e-17	0.79351877408456	364.175713551978	0.665784025995072
"GSM1683661"	0.250017870937556	0.0324478686225117	0.717534260439933	737.33941788262	0.537358210127194
"GSM1683662"	0.0911783074772424	0.13976219855774	0.769059493965018	723.861550710815	0.423483757017399
"GSM1683665"	0.326464351496753	0.0443437673228888	0.629191881180358	418.064630325296	0.661869242700555
"GSM1683668"	0.144878288977622	-2.09972637784396e-16	0.855121711022378	474.37261703369	0.702825397424509
"GSM1683671"	0.0592595175221182	4.96156900875876e-18	0.940740482477882	635.501095434339	0.612957848265814
"GSM1683676"	0.591086758246959	0.0520673645608524	0.356845877192188	547.163599647804	0.720240814370804
"GSM1683678"	0.682630743587855	0.0348168394044655	0.282552417007679	512.490046771457	0.7028372660597
"GSM1683683"	0.875408076972935	0.0158726880504641	0.108719234976601	493.142070270291	0.75213166276583
"GSM1683686"	0.544364890786447	0.0245272578955607	0.431107851317993	712.081798543951	0.616743292916565
"GSM1683691"	0.0739219941250279	0.0699376432247476	0.856140362650225	818.980772626998	0.421519657690793
"GSM1683694"	0.511124529653615	0.103759360506538	0.385116109839848	516.576885180234	0.702341994689527
"GSM1683698"	0.580195603542011	0.0316138416089506	0.388190554849038	425.710593870794	0.684328441094914
"GSM1683699"	0.0285787067986681	-1.8969535701456e-16	0.971421293201364	648.985249761978	0.678453100622208
"GSM1683701"	0.214204632079258	3.67578745504694e-19	0.785795367920743	547.994041284472	0.638651468263052
"GSM1683708"	0.296512759333403	0.189236962663497	0.5142502780031	719.714634516591	0.369422507627602
"GSM1683714"	0.227680288803545	0.156261927458717	0.616057783737738	663.976614275628	0.469504685389826
"GSM1683721"	0.784412789658117	0.0699063448931807	0.145680865448703	489.760830543762	0.566718562718178
"GSM1683722"	0.258083389287586	0.0893658997108471	0.652550711001569	719.519614572281	0.522669679806798
"GSM1683723"	0.400330465943589	0.0971677489538068	0.502501785102604	573.391575328077	0.530711497549762
"GSM1683725"	0.106407573528439	-2.03440152511208e-17	0.893592426471562	583.996200827677	0.706772383927434
"GSM1683731"	0.0495860942884598	0.323946491183722	0.626467414527817	797.505439394954	0.358226302138773
"GSM1683734"	4.2030683479188e-17	0.264644363316336	0.735355636683695	603.168368361599	0.576536772624993
"GSM1683742"	2.39152555121029e-19	0.336476689140387	0.66352331085962	660.132974413732	0.495530523559772
"GSM1683746"	0.0257680908373431	0.280541701607168	0.693690207555488	538.256361434504	0.517212225202811
"GSM1683749"	0.642131940773131	0.173808759066759	0.184059300160109	595.031929184676	0.41570796167219
